1	3104869	3105664	Interval_6
1	3113079	3114100	Interval_7
1	4671106	4672103	Interval_19
1	4769828	4770920	Interval_25
1	4774754	4775783	Interval_27
1	4785074	4786405	Interval_29
1	4807210	4809188	Interval_31
1	4857039	4858878	Interval_33
1	4918694	4919260	Interval_41
1	4926431	4927096	Interval_42
1	5017919	5020948	Interval_43
1	5025224	5026452	Interval_44
1	5055193	5056334	Interval_45
1	5069879	5071191	Interval_47
1	5082426	5083734	Interval_50
1	5128192	5129775	Interval_52
1	5220419	5221567	Interval_58
1	5228925	5229520	Interval_59
1	6213985	6215639	Interval_70
1	6262318	6263648	Interval_73
1	6271577	6272698	Interval_75
1	6382446	6383954	Interval_84
1	6395168	6396034	Interval_86
1	6397313	6398012	Interval_87
1	6405514	6407182	Interval_90
1	6409827	6410871	Interval_91
1	6417973	6419352	Interval_94
1	6453332	6454678	Interval_97
1	6466087	6467345	Interval_99
1	6492743	6493347	Interval_104
1	6623829	6625399	Interval_109
1	6657227	6659542	Interval_112
1	6760044	6761841	Interval_119
1	6821495	6822297	Interval_122
1	6858029	6859501	Interval_125
1	6969324	6970161	Interval_130
1	7010228	7011392	Interval_138
1	7088027	7090555	Interval_140
1	7099432	7101164	Interval_141
1	7111187	7112359	Interval_143
1	7155090	7155534	Interval_149
1	7163322	7164537	Interval_150
1	7165317	7165820	Interval_151
1	7204506	7207057	Interval_156
1	7396772	7398970	Interval_161
1	7411139	7413142	Interval_162
1	9544949	9546688	Interval_177
1	9563563	9565245	Interval_180
1	9568938	9570182	Interval_182
1	9572899	9574052	Interval_183
1	9591696	9594391	Interval_188
1	9607687	9608602	Interval_190
1	9621173	9622506	Interval_194
1	9629475	9631337	Interval_196
1	9638411	9639891	Interval_198
1	9666226	9667765	Interval_202
1	9673594	9674789	Interval_203
1	9699664	9701541	Interval_205
1	9711137	9712245	Interval_207
1	9747260	9748825	Interval_210
1	9757776	9758877	Interval_212
1	9772862	9773705	Interval_214
1	9797041	9799367	Interval_221
1	9822680	9824098	Interval_227
1	9832965	9834098	Interval_231
1	9841140	9842523	Interval_232
1	9847376	9849137	Interval_233
1	9849504	9851262	Interval_234
1	9854589	9855776	Interval_235
1	9857382	9858053	Interval_236
1	9858798	9859935	Interval_237
1	9876203	9877736	Interval_239
1	9942940	9944673	Interval_247
1	9967001	9969362	Interval_252
1	9991133	9992581	Interval_256
1	9997399	9998605	Interval_257
1	10007176	10007953	Interval_260
1	10037505	10038475	Interval_264
1	10039069	10040483	Interval_265
1	10056120	10057099	Interval_267
1	10219679	10221270	Interval_293
1	10231585	10233599	Interval_296
1	10238903	10239839	Interval_297
1	10280107	10280746	Interval_306
1	10759500	10760194	Interval_316
1	10768719	10769913	Interval_317
1	10877207	10878234	Interval_324
1	10879706	10880651	Interval_325
1	11774321	11775451	Interval_334
1	12990431	12993076	Interval_343
1	13051828	13052687	Interval_347
1	13133971	13135652	Interval_354
1	13151007	13152007	Interval_358
1	13162029	13163381	Interval_360
1	13171843	13174514	Interval_361
1	13267221	13269025	Interval_380
1	13287309	13289193	Interval_383
1	13293017	13294374	Interval_384
1	13294699	13295896	Interval_385
1	13301118	13302580	Interval_386
1	13335646	13336805	Interval_391
1	13341271	13343028	Interval_392
1	13372098	13374817	Interval_397
1	13383003	13384056	Interval_400
1	13425853	13427477	Interval_403
1	13513441	13514305	Interval_408
1	13530877	13532202	Interval_410
1	13558953	13560613	Interval_413
1	13572092	13572928	Interval_418
